Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Dónal Fitzpatrick,"A comparative analysis of ICT Tools and the mathematical education of blind and visually impaired people in Ireland, Poland, The Netherlands, and neighbouring countries.","Fitzpatrick, Dónal, Murray, Sarah, Van Leendert, Annemiek, Brzostek-Pawłowska, Jolanta, Rubin, Małgorzata",Technical Report. Project Euromath.,2018,"Dónal Fitzpatrick, Sarah Murray, Annemiek Van Leendert, Jolanta Brzostek-Pawłowska, Małgorzata Rubin","Fitzpatrick, Dónal, ORCID: 0000-0001-9699-5484, Brzostek-Pawłowska,, Jolanta, ORCID: 0000-0002-9870-0480, Rubin, Małgorzata, ORCID: 0000-0002-3882-3518","Murray, Sarah, Van Leendert, Annemiek",,,Monograph (Technical Report),,Yes,,,,Computer Science > Information technology. Social Sciences > Education. Social Sciences > Educational technology. Social Sciences > Teaching. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24725,01 Jul 2020 13:17 by  Donal Fitzpatrick. Last Modified 06 Aug 2020 11:13,,Project Euromath,https://project.euromath.eu/wp-content/uploads/2018/10/O1_Report_EN.pdf,© 2018,"FRSE Aleje Jerozolimskie 142A 02-305 Warsaw, The innovative ICT-based math instruction, No. 2017-1-PL01- KA201-038548, Erasmus +",,,
Dónal Fitzpatrick,"Is web-based computer-aided translation (CAT)
software usable for blind translators?","Rodríguez Vázquez, Silvia, Fitzpatrick, Dónal, O'Brien, Sharon","16th International Conference on Computers Helping People with Special Needs ICCHP 2018, 11-13 July 2018, Linz, Austria",2018,"Silvia Rodríguez Vázquez, Dónal Fitzpatrick, Sharon O'Brien","Rodríguez Vázquez, Silvia, ORCID: 0000-0002-9945-5544, Fitzpatrick, Dónal, ORCID: 0000-0001-9699-5484, O'Brien, Sharon, ORCID: 0000-0003-4864-5986",,978-3-319-94276-6,,Conference or Workshop Item (Paper),Conference,Yes,,,"Computer-Aided Translation; Web Accessibility; Blind Translators;
Usability",Computer Science > Machine translating,UNSPECIFIED,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23368,28 May 2019 11:36 by  Thomas Murtagh. Last Modified 23 Sep 2019 15:17,"Miesenberger, Klaus and Kouroupetroglou, Georgios, (eds.)International Conference on Computers Helping People with Special Needs ICCHP 2018: Computers Helping People with Special Needs. Lecture Notes in Computer Science (LNCS)10896.  Springer. ISBN 978-3-319-94276-6",Springer,http://dx.doi.org/10.1007/978-3-319-94277-3_6,© 2018 Springer,,,,
