Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Alessandra Mileo,Extracting knowledge from Deep Neural Networks through graph analysis,"Vitor Ac Horta, Ilaria Tiddi, Suzanne Little, Alessandra Mileo",Future Generation Computer Systems 120 109-118,0,2021
Alessandra Mileo,Proceedings 36th International Conference on Logic Programming (Technical Communications),"Francesco Ricca, Alessandra Russo, Sergio Greco, Nicola Leone, Alexander Artikis, Gerhard Friedrich, Paul Fodor, Angelika Kimmig, Francesca Lisi, Marco Maratea, Alessandra Mileo, Fabrizio Riguzzi",arXiv preprint arXiv:2009.09158,0,2020
Alessandra Mileo,Query Based Access Control for Linked Data,"Sabrina Kirrane, Alessandra Mileo, Axel Polleres, Stefan Decker",arXiv preprint arXiv:2007.00461,0,2020
Alessandra Mileo,Towards Explaining Deep Neural Networks Through Graph Analysis,"Vitor Ac Horta, Alessandra Mileo",International Conference on Database and Expert Systems Applications 155-165,2,2019
Alessandra Mileo,C-ASP: continuous asp-based reasoning over RDF streams,"Thu-Le Pham, Muhammad Intizar Ali, Alessandra Mileo",International Conference on Logic Programming and Nonmonotonic Reasoning 45-50,2,2019
Alessandra Mileo,C-ASP: Continuous ASP-Based Reasoning over RDF Streams,"B Thu-Le Pham, Muhammad Intizar Ali, Alessandra Mileo",Logic Programming and Nonmonotonic Reasoning: 15th International Conference …,0,2019
Alessandra Mileo,Towards architecture-agnostic neural transfer: a knowledge-enhanced approach,"Sean Quinn, Alessandra Mileo",International Joint Conferences on Artificial Intelligence Organization,0,2019
Alessandra Mileo,Enhancing the scalability of expressive stream reasoning via input-driven parallelization,"Thu-Le Pham, Muhammad Intizar Ali, Alessandra Mileo",Semantic Web 10 (3) 457-474,8,2019
