Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Darragh O'Brien,Generative Adversarial Network-Based Semi-supervised Learning for Pathological Speech Classification,"Nam H Trinh, Darragh O’Brien",International Conference on Statistical Language and Speech Processing 169-181,0,2020
Darragh O'Brien,Semi-supervised learning with generative adversarial networks for pathological speech classification,"Nam H Trinh, Darragh O’Brien",2020 31st Irish Signals and Systems Conference (ISSC) 1-5,1,2020
Darragh O'Brien,Pathological Speech Classification Using a Convolutional Neural Network,"Nam Trinh, Darragh O’Brien",Irish Machine Vision and Image Processing Conference,6,2019
