Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Alan F. Smeaton,A Comparative Study of Existing and New Deep Learning Methods for Detecting Knee Injuries using the MRNet Dataset,"David Azcona, Kevin McGuinness, Alan F. Smeaton",3rd International Workshop on Deep and Transfer Learning (DTL2020) - arXiv …,0,2020
Alan F. Smeaton,Leveraging Audio Gestalt to Predict Media Memorability,"Lorin Sweeney, Graham Healy, Alan F. Smeaton",MediaEval Multimedia Benchmark Workshop Working Notes arXiv preprint arXiv …,1,2020
Alan F. Smeaton,Investigating Memorability of Dynamic Media,"Phuc H Le-Khac, Ayush K Rai, Graham Healy, Alan F. Smeaton, Noel O’Connor",MediaEval Multimedia Benchmark Workshop Working Notes arXiv preprint arXiv …,0,2020
Alan F. Smeaton,Utilising Visual Attention Cues for Vehicle Detection and Tracking,"Feiyan Hu, Noel O’Connor, Alan F. Smeaton, Suzanne Little",International Conference on Pattern Recognition (ICPR) 2020 - arXiv preprint …,0,2020
Alan F. Smeaton,AlphaMWE: Construction of Multilingual Parallel Corpora with MWE Annotations,"Lifeng Han, Gareth Jones, Alan F. Smeaton",Joint Workshop on Multiword Expressions and Electronic Lexicons (MWE-LEX …,2,2020
Alan F. Smeaton,Using GANs to Synthesise Minimum Training Data for Deepfake Generation,"Simranjeet Singh, Rajneesh Sharma, Alan F. Smeaton",Proceedings of 28th Irish Conference on Artificial Intelligence and …,2,2020
Alan F. Smeaton,Chroma Intra Prediction With Attention-Based CNN Architectures,"Marc Gorriz Blanch, Saverio Blasi, Alan F. Smeaton, Noel O’Connor, Marta Mrak",2020 IEEE International Conference on Image Processing (ICIP) 783-787,2,2020
Alan F. Smeaton,Interpreting CNN for Low Complexity Learned Sub-pixel Motion Compensation in Video Coding,"Luka Murn, Saverio Blasi, Alan F. Smeaton, Noel O’Connor, Marta Mrak",27th IEEE International Conference on Image Processing 25-28 Oct 2020 Abu …,3,2020
Alan F. Smeaton,Saliency guided 2D-object annotation for instrumented vehicles,"Venkatesh Gurum Munirathnam, Feiyan Hu, Noel O’Connor, Alan F. Smeaton, Zhen Yang, Suzanne Little",Proceedings of the 17th IEEE Content Based Multimedia Indexing (CBMI …,2,2019
Alan F. Smeaton,Assistive technology: Understanding the needs and experiences of individuals with autism spectrum disorder and/or intellectual disability in Ireland and the UK,"Sean J O’Neill, Sinead Smyth, Alan F. Smeaton, Noel O’Connor",Assistive Technology 109,12,2019
Alan F. Smeaton,Gender diversity in SIGMM: we'll just leave this here as well,Alan F. Smeaton,ACM SIGMultimedia Records 10 (4) 1-1,0,2019
Alan F. Smeaton,Report from the SIGMM Emerging Leaders Symposium 2018,"Alan F. Smeaton, Hanwang Zhang, Michael Riegler, Jia Jia, Liqiang Nie",ACM SIGMultimedia Records 10 (4) 2,0,2019
Alan F. Smeaton,user2code2vec: Embeddings for Profiling Students Based on Distributional Representations of Source Code,"David Azcona, Piyush Arora, I-Han Hsiao, Alan F. Smeaton",Proceedings of the 9th International Conference on Learning Analytics …,16,2019
Alan F. Smeaton,Neuroscore: A Brain-inspired Evaluation Metric for Generative Adversarial Networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",arXiv preprint arXiv:1905.04243,8,2019
Alan F. Smeaton,Unlocking the black box of wearable intelligence: ethical considerations and social impact,"Lauri Tuovinen, Alan F. Smeaton",IEEE Congress on Evolutionary Computation Wellington New Zealand,6,2019
Alan F. Smeaton,Issues of Informed Consent from Persons with Dementia When Employing Assistive Technologies,"Peter Novitzky, Cynthia Chen, Alan F. Smeaton, Renaat Verbruggen, Bert Gordijn",Intelligent Assistive Technologies for Dementia: Clinical Ethical Social …,2,2019
Alan F. Smeaton,Detecting students-at-risk in computer programming classes with learning analytics from students’ digital footprints,"David Azcona, I-Han Hsiao, Alan F. Smeaton",User Modeling and User-Adapted Interaction 29 (4) 759-788,29,2019
Alan F. Smeaton,Tracking Human Behavioural Consistency by Analysing Periodicity of Household Water Consumption,"Sean Quinn, Noel Murphy, Alan F. Smeaton",Proceedings of the 2019 2nd International Conference on Sensors Signal and …,1,2019
Alan F. Smeaton,Recognising Irish sign language using electromyography,"Laura Christina Galea, Alan F. Smeaton",Proceedings of the 17th IEEE Content Based Multimedia Indexing (CBMI …,2,2019
Alan F. Smeaton,Challenges associated with generative forms of multimedia content (Keynote Talk),Alan F. Smeaton,17th Annual Conference on Content Based Multmedia Information (CBMI'2019),0,2019
Alan F. Smeaton,End-to-End Conditional GAN-based Architectures for Image Colourisation,"Marc Górriz, Marta Mrak, Alan F. Smeaton, Noel O’Connor",2019 IEEE 21st International Workshop on Multimedia Signal Processing (MMSP …,11,2019
Alan F. Smeaton,A Domain Ontology and Software Platform for Collaborative Personal Data Analytics,"Lauri Tuovinen, Alan F. Smeaton",In: Luo Y. (eds) Cooperative Design Visualization and Engineering. CDVE …,1,2019
Alan F. Smeaton,Saliency guided 2D-object annotation for instrumented vehicles,"Venkatesh Gurram Munirathnam, Feiyan Hu, Noel O’Connor, Alan F. Smeaton, Zhen Yang, Suzanne Little",IEEE,0,2019
Alan F. Smeaton,Predicting media memorability using ensemble models,"David Azcona, Enric Moreu, Feiyan Hu, Tomas Ward, Alan F. Smeaton",In Proceedings of the MediaEval 2019 Workshop Sophia Antipolis France 27 …,6,2019
Alan F. Smeaton,"Trecvid 2019: An evaluation campaign to benchmark video activity detection, video captioning and matching, and video search & retrieval","George Awad, Asad Butt, Keith Curtis, Yooyoung Lee, Jonathan Fiscus, Afzad Godil, Andrew Delgado, Alan F. Smeaton, Yvette Graham, Wessel Kraaij, Georges Quénot",Proceedings of TRECVID 2019,48,2019
Alan F. Smeaton,Remote Collaborative Knowledge Discovery for Better Understanding of Self-tracking Data,"Lauri Tuovinen, Alan F. Smeaton",Proc. FRUCT’25  Helsinki Finland  ISBN 978-952-69244-0-3 622 p.  S …,1,2019
Alan F. Smeaton,"Advances in Visual Informatics: 6th International Visual Informatics Conference, IVIC 2019, Bangi, Malaysia, November 19–21, 2019, Proceedings","Halimah Badioze Zaman, Alan F. Smeaton, Timothy K Shih, Sergio Velastin, Tada Terutoshi, Nazlena Mohamad Ali, Mohammad Nazir Ahmad",Springer Nature,0,2019
Alan F. Smeaton,Exploring the Impact of Training Data Bias on Automatic Generation of Video Captions,"Alan F. Smeaton, Yvette Graham, Kevin McGuinness, Noel O’Connor, Sean Quinn, Eric Arazo Sanchez",International Conference on Multimedia Modeling 178-190,0,2019
