Researcher,Google Scholar Link,Doras Link,ORCID
David Sinclair,https://scholar.google.com/citations?hl=en&user=_oD5KVgAAAAJ,http://doras.dcu.ie/view/people/Sinclair=3ADavid=3A=3A.html,https://orcid.org/0000-0002-0017-978X
Alan F. Smeaton,https://scholar.google.com/citations?hl=en&user=o7xnW2MAAAAJ,http://doras.dcu.ie/view/people/Smeaton=3AAlan_F=2E=3A=3A.html,https://orcid.org/0000-0003-1028-8389
Brian Stone,,,
Alistair Sutherland,https://scholar.google.com/citations?user=yjTWSAEAAAAJ&hl=en&oi=ao,http://doras.dcu.ie/view/people/Sutherland=3AAlistair=3A=3A.html,https://orcid.org/0000-0003-0528-3807
Irina Tal,https://scholar.google.com/citations?user=d-G6EqsAAAAJ&hl=en&oi=ao,http://doras.dcu.ie/view/people/Tal=3AIrina=3A=3A.html,
Jagadeeswaran Thangaraj,https://scholar.google.com/citations?hl=en&user=kT3yQwoAAAAJ,,https://orcid.org/0000-0002-2721-0898
Renaat Verbruggen,,,
Ray Walshe,https://scholar.google.com/citations?user=ToA74GEAAAAJ&hl=en&oi=ao,http://doras.dcu.ie/view/people/Walshe=3ARay=3A=3A.html,
Monica Ward,https://scholar.google.com/citations?user=DXgY_xYAAAAJ&hl=en&oi=ao,http://doras.dcu.ie/view/people/Ward=3AMonica=3A=3A.html,https://orcid.org/0000-0001-7327-1395
Tomas Ward,https://scholar.google.com/citations?user=dL7lCKUAAAAJ&hl=en&oi=ao,http://doras.dcu.ie/view/people/Ward=3ATom=E1s_E=2E=3A=3A.html,https://orcid.org/0000-0002-6173-6607
Andy Way,https://scholar.google.com/citations?user=YLwnsbUAAAAJ&hl=en&oi=ao,http://doras.dcu.ie/view/people/Way=3AAndy=3A=3A.html,https://orcid.org/0000-0001-5736-5930
Murat YILMAZ,https://scholar.google.com/citations?user=S7J_GYAAAAAJ&hl=en&oi=ao,http://doras.dcu.ie/view/people/Yilmaz=3AMurat=3A=3A.html,https://orcid.org/0000-0002-2446-3224
