,Title,Citation,Conference,Publisher,Journal,Date,Authors
13,Multi-modal mathematics: Conveying math using synthetic speech and speech recognition,9,International Conference on Computers for Handicapped Persons,"Springer, Berlin, Heidelberg",Unknown,2004,"Donal Fitzpatrick, Arthur I Karshmer"
14,Speaking technical documents: Using prosody to convey textual and mathematical material,9,International Conference on Computers for Handicapped Persons,"Springer, Berlin, Heidelberg",Unknown,2002,Donal Fitzpatrick
15,Autonomous access to graphics for visually impaired learners,8,Unknown,Unknown,Irish Educational Technology Userâ€™s,2009,"Declan McMullen, Donal Fitzpatrick"
16,TechRead: A system for deriving braille and spoken output from Latex documents,7,"Computers and assistive technology ICCHP'98 (Vienna, Budapest, 31 August-4 September 1998)",Unknown,Unknown,1998,"Donal Fitzpatrick, AI C MONAGHAN"
17,Tactile diagrams at a distance: A multimodal e-learning prototype,5,Unknown,Unknown,"Irish Humancomputer Interaction Conference, University Of Limerick",2008,"Declan McMullen, Donal Fitzpatrick"
18,Offline handwritten mathematical symbol recognition utilising deep learning,4,Unknown,Unknown,arXiv preprint arXiv:1910.07395,2019,"Azadeh Nazemi, Niloofar Tavakolian, Donal Fitzpatrick, Ching Y Suen"
19,Browsing technical documents: Document modelling and user interface design,4,Unknown,Unknown,Bulletin de linguistique appliquÃ©e et gÃ©nÃ©rale,1999,"Donal Fitzpatrick, AI C MONAGHAN"
20,EnhAnced government learning portal: Production of universally accessible open educational resources,3,2016 Future Technologies Conference (FTC),IEEE,Unknown,2016,"Catherine Mulwa, Donal Fitzpatrick, Sonja Trapp, Sabine Moebs"
21,Combining web services and daisy for the production and delivery of audio tactile diagrams,3,International Conference on Computers for Handicapped Persons,"Springer, Berlin, Heidelberg",Unknown,2010,"Declan McMullen, Donal Fitzpatrick"
22,Service based approach to the construction and delivery of audio tactile diagrams. California State University Northridge,3,Unknown,Unknown,Center On Disabilities Technology And Persons With Disabilities Conference,2010,"Declan McMullen, Donal Fitzpatrick"
23,AI and big data standardization: Contributing to United Nations sustainable development goals,2,Unknown,Unknown,Journal of ICT Standardization,2020,"Ray Walshe, Kevin Casey, Jane Kernan, Donal Fitzpatrick"
24,Mapping the European digital accessibility field.,2,Unknown,Association for Computing Machinery (ACM),Unknown,2020,"Estella Oncins, Armony Altinier, Donal Fitzpatrick"
25,Usability of web-based MT post-editing environments for screen reader users,2,MT Summit XVI,Unknown,Unknown,2017,"Silvia Rodriguez Vazquez, Sharon O'Brien, DÃ³nal Fitzpatrick"
26,Real-time information retrieval from Identity cards,1,Unknown,Unknown,arXiv preprint arXiv:2003.12103,2020,"Niloofar Tavakolian, Azadeh Nazemi, Donal Fitzpatrick"
27,"A comparative analysis of ICT tools and the mathematical education of blind and visually impaired people in Ireland, Poland, the Netherlands, and neighbouring countries",1,Unknown,Project Euromath,Unknown,2018,"Donal Fitzpatrick, Sarah Murray, Annemiek Van Leendert, Jolanta Brzostek-PawÅ‚owska, MaÅ‚gorzata Rubin"
28,SpatialMaths: a Library for Conveying Content and Structure of Equations,1,Digitization and E-Inclusion in Mathematics and Science (DEIMS2016),Unknown,Unknown,2016,"Colin Fitzsimons, Emma Murphy, Catherine Mulwa, Donal Fitzpatrick"
29,Impact of ICT on the teaching of maths to VIP (Visually Impaired People),1,Unknown,Unknown,"communication prÃ©sentÃ©e au 5e workshop JEM (Joining Educational Mathematics, eContentPlus Thematic Network), Paris (France), En ligne http://chezdom. net/wp-content/uploads/2008/11/jem112008-dom-don. pdf, consultÃ© le",2014,"Dominique Archambault, DÃ²nal Fitzpatrick"
30,A New Approach for the Production and Delivery of Audio Tactile Diagrams,1,Unknown,Unknown,"International Conference on Computers Helping People with Special Needs, Doctoral Consortium",2010,Declan McMullen
31,Service based approach to the construction and delivery of audio tactile diagrams,1,Unknown,Unknown,"Center On Disabilities Technology And Persons With Disabilities Conference, California State University, Northridge",2010,"Declan McMullen, Donal Fitzpatrick"
32,EuroMath: A Web-Based Platform for Teaching of Accessible Mathematics,Unknown,International Conference on Computers Helping People with Special Needs,"Springer, Cham",Unknown,2020,"Donal Fitzpatrick, Azadeh Nazemi, Grzegorz Terlikowski"
33,Package â€˜BrailleRâ€™,Unknown,Unknown,Unknown,Unknown,2018,"A Jonathan R Godfrey, Debra Warren, Donal Fitzpatrick, Duncan Murdoch, Greg Snow, Henrik Bengtsson, James Curtis, JooYoung Seo, Marshall Flax, Paul Murrell, Timothy Bilton, Tony Hirst, Tsan-Kuang Lee, Volker Sorge, Yihui Xie, Maintainer A Jonathan R Godfrey"
34,EAGLE: An Accessible Platform for Delivery of Learning Materials,Unknown,Unknown,"California State University, Northridge.",Journal on Technology & Persons with Disabilities,2017,"Donal Fitzpatrick, Catherine Mulwa, Snezana Scepanovic"
35,An Investigation of Tradeoffs between Techniques to Support User-centred Evaluations of Adaptive Game-based Learning Systems,Unknown,Global Learn,Association for the Advancement of Computing in Education (AACE),Unknown,2016,"Catherine Mulwa, Donal Fitzpatrick, Vincent Wade"
36,A RECOMMENDATION SERVICE FOR SUPPORTING EVALUATORS OF ADAPTIVE EDUCATIONAL SYSTEMS IN THIRD LEVEL INSTITUTIONS,Unknown,EDULEARN16 Proceedings,IATED,Unknown,2016,"C Mulwa, D Fitzpatrick, V Wade"
37,A system to assist visually disabled musicians to participate in orchestras,Unknown,Unknown,"California State University, Northridge.",Journal on Technology & Persons with Disabilities,2015,"Thomas Brophy, Christopher Noonan, Ian Pitt, Donal Fitzpatrick, Flaithri Neff"
38,Examining Mobile Tasks and Devices,Unknown,Unknown,Unknown,Unknown,2014,"Karen Carey, Markus Helfert, Donal FitzPatrick"
39,Examining Mobile Tasks and Devices: Developing a User Centric Guideline,Unknown,Unknown,IGI Global,International Journal of Mobile Human Computer Interaction (IJMHCI),2014,"Karen Carey, Markus Helfert, Donal FitzPatrick"
