Title,Citation,Conference,Publisher,Journal,Date,Authors,AuthorDCU
Overview of the EVALITA 2016 question answering for frequently asked questions (QA4FAQ) task,16,Unknown,Unknown,EVALITA. Evaluation of NLP and Speech Tools for Italian,2016,"Annalina Caputo, Marco de Gemmis, Pasquale Lops, Francesco Lovecchio, Vito Manzari, Acquedotto Pugliese AQP Spa",Annalina Caputo
Encoding syntactic dependencies by vector permutation,14,Proceedings of the GEMS 2011 Workshop on GEometrical Models of Natural Language Semantics,Unknown,Unknown,2011,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
Boosting a semantic search engine by named entities,12,International Symposium on Methodologies for Intelligent Systems,"Springer, Berlin, Heidelberg",Unknown,2009,"Annalina Caputo, Pierpaolo Basile, Giovanni Semeraro",Annalina Caputo
UNIBA: Exploiting a Distributional Semantic Model for Disambiguating and Linking Entities in Tweets.,11,# MSM,Unknown,Unknown,2015,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro, Fedelucio Narducci",Annalina Caputo
Negation for document re-ranking in ad-hoc retrieval,10,Conference on the Theory of Information Retrieval,"Springer, Berlin, Heidelberg",Unknown,2011,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
An Automatic Procedure for Generating Datasets for Conversational Recommender Systems,9,"Working Notes of CLEF 2017 - Conference and Labs of the Evaluation Forum, Dublin, Ireland, September 11-14, 2017.",Unknown,Unknown,2017,"Alessandro Suglia, Claudio Greco, Pierpaolo Basile, Giovanni Semeraro, Annalina Caputo",Annalina Caputo
Learning to rank entity relatedness through embedding-based features,9,International Conference on Applications of Natural Language to Information Systems,"Springer, Cham",Unknown,2016,"Pierpaolo Basile, Annalina Caputo, Gaetano Rossiello, Giovanni Semeraro",Annalina Caputo
Extending an Information Retrieval System through Time Event Extraction.,9,DART@ AI* IA,Unknown,Unknown,2014,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro, Lucia Siciliani",Annalina Caputo
A Query Algebra for Quantum Information Retrieval.,9,IIR,Unknown,Unknown,2011,"Annalina Caputo, Benjamin Piwowarski, Mounia Lalmas",Annalina Caputo
Integrating sense discrimination in a semantic information retrieval system,9,Unknown,"Springer, Berlin, Heidelberg",Unknown,2010,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
UNIBA-SENSE at CLEF 2008: SEmantic N-levels Search Engine.,9,CLEF (Working Notes),Unknown,Unknown,2008,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
Kronos-it: a Dataset for the Italian Semantic Change Detection Task.,8,CLiC-it,Unknown,Unknown,2019,"Pierpaolo Basile, Giovanni Semeraro, Annalina Caputo",Annalina Caputo
Modeling Short-Term Preferences in Time-Aware Recommender Systems.,8,UMAP Workshops,Unknown,Unknown,2015,"Pierpaolo Basile, Annalina Caputo, Marco De Gemmis, Pasquale Lops, Giovanni Semeraro",Annalina Caputo
SENSE: semantic N-levels search engine at CLEF2008 ad hoc robust-WSD track,7,Workshop of the Cross-Language Evaluation Forum for European Languages,"Springer, Berlin, Heidelberg",Unknown,2008,"Annalina Caputo, Pierpaolo Basile, Giovanni Semeraro",Annalina Caputo
Entity linking for tweets,6,Unknown,World Scientific Publishing Company,Unknown,2017,"Pierpaolo Basile, Annalina Caputo",Annalina Caputo
Semantic Vectors: an Information Retrieval Scenario,6,IIR,Unknown,Unknown,2010,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
A Factored Relevance Model for Contextual Point-of-Interest Recommendation,5,Unknown,Unknown,Unknown,2019,"Anirban Chakraborty, Debasis Ganguly, Annalina Caputo, SÃ©amus Lawless",Annalina Caputo
Entity Attribute Ranking Using Learning to Rank,5,Workshop on Knowledge Graphs and Semantics for Text Retrieval and Analysis (KG4IR 2017) co-located with the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR 2017),Unknown,Unknown,2017,"Esraa Ali, Annalina Caputo, SÃ©amus Lawless",Annalina Caputo
Temporal Random Indexing: a Tool for Analysing Word Meaning Variations in News.,5,NewsIR@ ECIR,Unknown,Unknown,2016,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
Entity linking for italian tweets,5,Unknown,Unknown,Proceedings of the Second Italian Conference on Computational Linguistics CLiC-it,2015,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
UNIBA: combining distributional semantic models and sense distribution for multilingual all-words sense disambiguation and entity linking,5,Proceedings of the 9th International Workshop on Semantic Evaluation (SemEval 2015),Unknown,Unknown,2015,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
A study on compositional semantics of words in distributional spaces,5,2012 IEEE Sixth International Conference on Semantic Computing,IEEE,Unknown,2012,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
UNIBA-SENSE@ CLEF 2009: Robust WSD Task,5,Workshop of the Cross-Language Evaluation Forum for European Languages,"Springer, Berlin, Heidelberg",Unknown,2009,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
A diachronic Italian corpus based on â€œLâ€™Unitaâ€,4,Unknown,CEUR-WS,Unknown,2020,"Pierpaolo Basile, Annalina Caputo, Tommaso Caselli, Pierluigi Cassotti, Rossella Varvara",Annalina Caputo
Exploiting disambiguation and discrimination in information retrieval systems,4,2009 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology,IEEE,Unknown,2009,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
Improving ranked keyword search with SENSE: SEmantic N-levels Search Engine,4,Unknown,Systemics and Informatics World Network,Communications of SIWN,2008,"Pierpaolo Basile, Annalina Caputo, Marco De Gemmis, Anna Lisa Gentile, Pasquale Lops, Giovanni Semeraro",Annalina Caputo
A Probabilistic Approach to Personalize Type-Based Facet Ranking for POI Suggestion,3,"Web Engineering - 21st International Conference, ICWE 2021, Biarritz, France, May 18-21, 2021, Proceedings",Unknown,Unknown,2021,"Owen Conlan Esraa Ali, Annalina Caputo, SÃ©amus Lawless",Annalina Caputo
CoRE: a cold-start resistant and extensible recommender system,3,Unknown,Unknown,Unknown,2019,"Mostafa Bayomi, Annalina Caputo, Matthew Nicholson, Anirban Chakraborty, SÃ¨amus Lawless",Annalina Caputo
Modeling concepts and their relationships for corpus-based query auto-completion,3,Unknown,De Gruyter Open,Open Computer Science,2019,"Gaetano Rossiello, Annalina Caputo, Pierpaolo Basile, Giovanni Semeraro",Annalina Caputo
UNIBA: Distributional semantics for textual similarity,3,"* SEM 2012: The First Joint Conference on Lexical and Computational Semanticsâ€“Volume 1: Proceedings of the main conference and the shared task, and Volume 2: Proceedings of the Sixth International Workshop on Semantic Evaluation (SemEval 2012)",Unknown,Unknown,2012,"Annalina Caputo, Pierpaolo Basile, Giovanni Semeraro",Annalina Caputo
From fusion to re-ranking: a semantic approach,3,Unknown,Unknown,Unknown,2010,"Annalina Caputo, Pierpaolo Basile, Giovanni Semeraro",Annalina Caputo
Personalizing type-based facet ranking using BERT embeddings,2,Unknown,IOS Press,Unknown,2021,"Esraa Ali, Annalina Caputo, SÃ©amus Lawless, Owen Conlan",Annalina Caputo
GM-CTSC at SemEval-2020 Task 1: Gaussian Mixtures Cross Temporal Similarity Clustering,2,"Proceedings of the Fourteenth Workshop on Semantic Evaluation, SemEval@COLING 2020, Barcelona (online), December 12-13, 2020",Unknown,Unknown,2020,"Pierpaolo Cassotti, Pierluigi, Caputo, Annalina, Polignano, Marco, Basile",Annalina Caputo
Diachronic Analysis of Entities by Exploiting Wikipedia Page revisions,2,International Conference on Recent Advances in Natural Language Processing,Unknown,Unknown,2019,"Pierpaolo Basile, Annalina Caputo, Seamus Lawless, Giovanni Semeraro",Annalina Caputo
Temporal Entity Random Indexing,2,"Digital Humanities 2018, DH 2018, Book of Abstracts, El Colegio de Mexico, UNAM, and RedHD, Mexico City, Mexico, June 26-29, 2018",Unknown,Unknown,2018,"Seamus Lawless Annalina Caputo, Gary Munnelly",Annalina Caputo
SEPIR: a semantic and personalised information retrieval tool for the public administration based on distributional semantics,2,Unknown,Inderscience Publishers (IEL),International Journal of Electronic Governance,2017,"Pierpaolo Basile, Annalina Caputo, Marco Di Ciano, Gaetano Grasso, Gaetano Rossiello, Giovanni Semeraro",Annalina Caputo
Time Event Extraction to Boost an Information Retrieval System,2,Unknown,"Springer, Cham",Unknown,2017,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro, Lucia Siciliani",Annalina Caputo
LifeSeeker 3.0: An Interactive Lifelog Search Engine for LSC'21,1,Unknown,Unknown,Unknown,2021,"Thao-Nhu Nguyen, Tu-Khiem Le, Van-Tu Ninh, Minh-Triet Tran, Nguyen Thanh Binh, Graham Healy, Annalina Caputo, Cathal Gurrin",Annalina Caputo
Kernel Density Estimation based Factored Relevance Model for Multi-Contextual Point-of-Interest Recommendation,1,Unknown,Unknown,arXiv preprint arXiv:2006.15679,2020,"Anirban Chakraborty, Debasis Ganguly, Annalina Caputo, Gareth JF Jones",Annalina Caputo
TRI: a tool for the diachronic analysis of large corpora and social media,1,Settimo Convegno Annuale AIUCD 2018,http://www.aiucd2018.uniba.it/content/AIUCD2018-BoA.pdf,Unknown,2018,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
Entity Linking for the Semantic Annotation of Italian Tweets,1,Unknown,Accademia University Press,Italian Journal of Computational Linguistics,2016,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
Temporal Random Indexing: A System for Analysing Word Meaning over Time,1,Unknown,Accademia University Press,IJCoL. Italian Journal of Computational Linguistics,2015,"Annalina Caputo, Pierpaolo Basile, Giovanni Semeraro",Annalina Caputo
Encoding Syntactic Dependencies using Random Indexing and Wikipedia as a Corpus.,1,IIR,Unknown,Unknown,2012,"Pierpaolo Basile, Annalina Caputo",Annalina Caputo
Integrating Named Entities in a Semantic Search Engine.,1,IIR,Unknown,Unknown,2010,"Annalina Caputo, Pierpaolo Basile, Giovanni Semeraro",Annalina Caputo
Improving Retrieval Experience Exploiting Semantic Representation of Documents.,1,SWAP,Unknown,Unknown,2008,"Pierpaolo Basile, Annalina Caputo, Anna Lisa Gentile, Marco Degemmis, Pasquale Lops, Giovanni Semeraro",Annalina Caputo
FAIR Ontologies for Transparent and Accountable AI: A Hospital Adverse Incidents Vocabulary Case Study,Unknown,2021 Third International Conference on Transdisciplinary AI (TransAI),IEEE,Unknown,2021,"Maryam Basereh, Annalina Caputo, Rob Brennan",Annalina Caputo
Dataset Creation Framework for Personalized Type-Based Facet Ranking Tasks Evaluation,Unknown,International Conference of the Cross-Language Evaluation Forum for European Languages,"Springer, Cham",Unknown,2021,"Esraa Ali, Annalina Caputo, SÃ©amus Lawless, Owen Conlan",Annalina Caputo
The Corpora They Are a-Changing: a Case Study in Italian Newspapers,Unknown,Proceedings of the 2nd International Workshop on Computational Approaches to Historical Language Change 2021,Unknown,Unknown,2021,"Pierpaolo Basile, Annalina Caputo, Tommaso Caselli, Pierluigi Cassotti, Rossella Varvara",Annalina Caputo
A VR Interface for Browsing Visual Spaces at VBS2021,Unknown,International Conference on Multimedia Modeling,"Springer, Cham",Unknown,2021,"Ly-Duyen Tran, Manh-Duy Nguyen, Thao-Nhu Nguyen, Graham Healy, Annalina Caputo, Binh T Nguyen, Cathal Gurrin",Annalina Caputo
Temporal word embeddings for dynamic user profiling in Twitter,Unknown,Unknown,CEUR-WS,Unknown,2019,"BreandÃ¡n Kerin, Annalina Caputo, SÃ©amus Lawless",Annalina Caputo
Linking historical sources to established knowledge bases in order to inform entity linkers in cultural heritage.,Unknown,COMHUM,Unknown,Unknown,2018,"Gary Munnelly, Annalina Caputo, SÃ©amus Lawless",Annalina Caputo
Triple Scoring Using Paragraph Vector - The Gailan Triple Scorer at WSDM Cup 2017,Unknown,Unknown,Unknown,arXiv preprint arXiv:1712.08360,2017,"Esraa Ali, Annalina Caputo, SÃ©amus Lawless",Annalina Caputo
"Proceedings of the Second Italian Conference on Computational Linguistics CLiC-it 2015: 3-4 December 2015, Trento",Unknown,Unknown,Accademia University Press,Unknown,2015,"John Adebayo Kolawole, Johannes Andresen, Marco Angster, Mihael Arcan, Giuseppe Attardi, A Barbagli, Marilena Di Bari, Roberto Bartolini, Pierpaolo Basile, Valerio Basile, Roberto Basili, Yuri Bizzoni, Guido Boella, Daniele Bonadiman, Giulia Bonansinga, Francis Bond, Federico Boschetti, Cristina Bosco, Dominique Brunato, Elena Cabrio, Nicoletta Calzolari, Annalina Caputo, Tommaso Caselli, Sara Castagnoli, Giuseppe Castellucci, Flavio Massimiliano Cecchini, Fabio Celli, Francesca Chiusaroli, Andrea Cimino, Giovanni Colavizza, Vittoria Cozza, Danilo Croce, Loredana Cupi, Francesco Cutugno, F Dell'Orletta, Felice Dell'Orletta, Rodolfo Delmonte, Riccardo Del Gratta, Irene De Felice, JosÃ© GC De Souza, Luigi Di Caro, Paolo Dragone, Fabrizio Esposito, Daniele Falavigna, Delia IrazÃº HernÃ¡ndez FarÃ­as, Fathi Fawi, Elisabetta Fersini, Michele Filannino, Francesca Frontini, Michel GÃ©nÃ©reux, Federico Giusfredi, Sara Goggi, Berta GonzÃ¡lez Saavedra, Laura Gorrieri, Lorenzo Gregori, Raffaele Guarasci, Giorgio Guzzetta, Tobias Horsmann, FrÃ©dÃ©ric Kaplan, Fahad Khan, Mirko Lai, Gianluca E Lebani, Alessandro Lenci, Pierre Lison, P Lucisano, Verena Lyding, Alessandro Maisto, Simone Marchi, Francesca Masini, Alessandro Mazzei, Alessio Miaschi, Anne-Lyse Minard, Monica Monachini, S Montemagni, Simonetta Montemagni, Johanna Monti, Giovanni Moretti, Alessandro Moschitti, Federico Nanni, Matteo Negri, Malvina Nissim, Nicole Novielli, Christophe OnambÃ©lÃ© Manga, Nahli Ouafae, Sebastian PadÃ³, Alessandro Panunzi, Gabriella Pardelli, Lucia Passaro, Lucia C Passaro, Marco Passarotti, Viviana Patti, Serena Pelosi, Ruggero Petrolito, Maria Laura Pierucci, Laura Pollacci, Luca Polonio, Valeria Quochi, Andrea Amelio Ravelli, Marianne Reboul, Giuseppe Riccardi, Stefan Richter, Livio Robaldo, Alice Ruggeri, Irene Russo, Simone Saletti, Federico Sangati, Manuela Sanguinetti, Daniele Sartiano, Giovanni Semeraro, Aliaksei Severyn, Serge Sharoff, Maria Simi, Claudia Soria, Manuela Speranza, Rachele Sprugnoli, Sabrina Stehwien, Evgeny A Stepanov, Marco Stranisci, Katalin SzabÃ², Martin Thomas, Sara Tonelli, Marco Turchi, G Venturi, Giulia Venturi, Marco Venuti, Serena Villata, Daniela Virone, Hamed Zamani, Fabio Massimo Zanzotto, Torsten Zesch",Annalina Caputo
UNIBA: Combining Distributional Semantic Models and Word Sense Disambiguation for Textual Similarity,Unknown,Unknown,Unknown,Unknown,2014,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
Combining distributional semantic models and sense distribution for effective Italian word sense disambiguation,Unknown,Unknown,Pisa University Press,Combining distributional semantic models and sense distribution for effective Italian word sense disambiguation,2014,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
Supervised Learning and Distributional Semantic Models for Super-Sense Tagging,Unknown,Congress of the Italian Association for Artificial Intelligence,"Springer, Cham",Unknown,2013,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
UNIBA-CORE: Combining Strategies for Semantic Textual Similarity,Unknown,"Second Joint Conference on Lexical and Computational Semantics (* SEM), Volume 1: Proceedings of the Main Conference and the Shared Task: Semantic Textual Similarity",Unknown,Unknown,2013,"Annalina Caputo, Pierpaolo Basile, Giovanni Semeraro",Annalina Caputo
Distributional Semantics for Answer Re-ranking in Question Answering.,Unknown,IIR,Unknown,Unknown,2013,"Piero Molino, Pierpaolo Basile, Annalina Caputo, Pasquale Lops, Giovanni Semeraro",Annalina Caputo
Orthogonal Negation for Document Re-ranking.,Unknown,IIR,Unknown,Unknown,2012,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
From Terms to Concepts: A Revisited Approach to Local Context Analysis.,Unknown,IIR,Unknown,Unknown,2011,"Annalina Caputo, Pierpaolo Basile, Giovanni Semeraro",Annalina Caputo
Semantic Re-ranking in Ad-hoc Robust Retrieval.,Unknown,IIR,Unknown,Unknown,2011,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Annalina Caputo
DIACR-Ita at EVALITA 2020: Task Guidelines,Unknown,Unknown,Unknown,Unknown,Unknown,"Pierpaolo Basile, Tommaso Caselli, Rijksuniveristeit Gronigen, Annalina Caputo, Rossella Varvara, Pierluigi Cassotti",Annalina Caputo
A woa-based optimization approach for task scheduling in cloud computing systems,41,Unknown,IEEE,IEEE Systems Journal,2020,"Xuan Chen, Long Cheng, Cong Liu, Qingzhi Liu, Jinwei Liu, Ying Mao, John Murphy",Long Cheng
Robust and skew-resistant parallel joins in shared-nothing systems,39,Unknown,Unknown,Unknown,2014,"Long Cheng, Spyros Kotoulas, Tomas E Ward, Georgios Theodoropoulos",Long Cheng
A Low-Cost Multi-Failure Resilient Replication Scheme for High-Data Availability in Cloud Storage,37,Unknown,IEEE,IEEE/ACM Transactions on Networking,2021,"Jinwei Liu, Haiying Shen, Hongmei Chi, Husnu S Narman, Yongyi Yang, Long Cheng, Wingyan Chung",Long Cheng
Design and evaluation of smallâ€“large outer joins in cloud computing environments,27,Unknown,Academic Press,Journal of Parallel and Distributed Computing,2017,"Long Cheng, Ilias Tachmazidis, Spyros Kotoulas, Grigoris Antoniou",Long Cheng
Robust and efficient large-large table outer joins on distributed infrastructures.,26,European Conference on Parallel Processing,Springer,Unknown,2014,"Long Cheng, Spyros Kotoulas, T Ward, Georgios Theodoropoulos",Long Cheng
FlowCon: Elastic Flow Configuration for Containerized Deep Learning Applications,25,Proceedings of the 48th International Conference on Parallel Processing,Unknown,Unknown,2019,"Wenjia Zheng, Michael Tynes, Henry Gorelick, Ying Mao, Long Cheng, Yantian Hou",Long Cheng
Scale-Out Processing of Large RDF Datasets,25,Unknown,IEEE,IEEE Transactions on Big Data,2015,"Long Cheng, Spyros Kotoulas",Long Cheng
Efficient data redistribution to speedup big data analytics in large systems,24,2016 IEEE 23rd International Conference on High Performance Computing (HiPC),IEEE,Unknown,2016,"Long Cheng, Tao Li",Long Cheng
Efficiently handling skew in outer joins on distributed systems.,24,"14th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",IEEE,Unknown,2014,"Long Cheng, Spyros Kotoulas, T Ward, T Theodoropoulos",Long Cheng
Target-based Resource Allocation for Deep Learning Applications in a Multi-tenancy System,19,Proceedings of the 23rd IEEE High Performance Extreme Computing Conference,Unknown,Unknown,2019,"Wenjia Zheng, Yun Song, Zihao Guo, Yongchen Cui, Suwen Gu, Ying Mao, Long Cheng",Long Cheng
Business Process Comparison: A Methodology and Case Study,18,Unknown,Springer,Business Information Systems,2017,"Alifah Syamsiyah, Alfredo Bolt, Long Cheng, Bart Hompes, RP Jagadeesh Chandra Bose, Boudewijn F van Dongen, Wil MP van der Aalst",Long Cheng
Scalable Discovery of Hybrid Process Models in a Cloud Computing Environment,17,Unknown,IEEE,IEEE Transactions on Services Computing,2020,"Long Cheng, Boudewijn Van Dongen, Wil Van Der Aalst",Long Cheng
Efficient Parallel Dictionary Encoding for RDF Data.,17,Proc. 17th International Workshop on the Web and Databases (WebDB),Unknown,Unknown,2014,"Long Cheng, Avinash Malik, Spyros Kotoulas, Tomas E Ward, Georgios Theodoropoulos",Long Cheng
Resource management schemes for cloud-native platforms with computing containers of docker and kubernetes,16,Unknown,Unknown,arXiv preprint arXiv:2010.10350,2020,"Ying Mao, Yuqi Fu, Suwen Gu, Sudip Vhaduri, Long Cheng, Qingzhi Liu",Long Cheng
Efficient Skew Handling for Outer Joins in a Cloud Computing Environment,16,Unknown,IEEE,IEEE Transactions on Cloud Computing,2018,"Long Cheng, Spyros Kotoulas",Long Cheng
Efficient event correlation over distributed systems,16,"2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",IEEE,Unknown,2017,"Long Cheng, Boudewijn F Van Dongen, Wil MP Van Der Aalst",Long Cheng
QbDJ: A novel framework for handling skew in parallel join processing on distributed memory,15,2013 IEEE 10th International Conference on High Performance Computing and Communications & 2013 IEEE International Conference on Embedded and Ubiquitous Computing,IEEE,Unknown,2013,"Long Cheng, Spyros Kotoulas, Tomas E Ward, Georgios Theodoropoulos",Long Cheng
A coflow-based co-optimization framework for high-performance data analytics,14,2017 46th International Conference on Parallel Processing (ICPP),IEEE,Unknown,2017,"Long Cheng, Ying Wang, Yulong Pei, Dick Epema",Long Cheng
Deep reinforcement learning for communication flow control in wireless mesh networks,12,Unknown,IEEE,IEEE Network,2021,"Qingzhi Liu, Long Cheng, Adele Lu Jia, Cong Liu",Long Cheng
Privacy-preserving behavioral correctness verification of cross-organizational workflow with task synchronization patterns,11,Unknown,IEEE,IEEE Transactions on Automation Science and Engineering,2021,"Cong Liu, Qingtian Zeng, Long Cheng, Hua Duan, MengChu Zhou, Jiujun Cheng",Long Cheng
Speculative container scheduling for deep learning applications in a kubernetes cluster,10,Unknown,Unknown,arXiv preprint arXiv:2010.11307,2020,"Ying Mao, Yuqi Fu, Wenjia Zheng, Long Cheng, Qingzhi Liu, Dingwen Tao",Long Cheng
Deep Reinforcement Learning for IoT Network Dynamic Clustering in Edge Computing,10,"Proceedings of the 19th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",Unknown,Unknown,2019,"Qingzhi Liu, Long Cheng, Tanir Ozcelebi, John Murphy, Johan Lukkien",Long Cheng
Improving the robustness and performance of parallel joins over distributed systems,10,Unknown,Academic Press,Journal of Parallel and Distributed Computing,2017,"Long Cheng, Spyros Kotoulas, Tomas E Ward, Georgios Theodoropoulos",Long Cheng
Fast Compression of Large Semantic Web Data using X10,10,Unknown,IEEE,IEEE Transactions on Parallel and Distributed Systems,2016,"Long Cheng, Avinash Malik, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",Long Cheng
Sampling business process event logs using graphâ€based ranking model,9,Unknown,Unknown,Concurrency and Computation: Practice and Experience,2021,"Cong Liu, Yulong Pei, Long Cheng, Qingtian Zeng, Hua Duan",Long Cheng
Resilient neural network training for accelerators with computing errors,7,"2019 IEEE 30th International Conference on Application-specific Systems, Architectures and Processors (ASAP)",IEEE,Unknown,2019,"Dawen Xu, Kouzi Xing, Cheng Liu, Ying Wang, Yulin Dai, Long Cheng, Huawei Li, Lei Zhang",Long Cheng
Efficient large outer joins over mapreduce,6,European Conference on Parallel Processing,"Springer, Cham",Unknown,2016,"Long Cheng, Spyros Kotoulas",Long Cheng
Design and evaluation of parallel hashing over large-scale data,6,2014 21st International Conference on High Performance Computing (HiPC),IEEE,Unknown,2014,"Long Cheng, Spyros Kotoulas, Tomas E Ward, Georgios Theodoropoulos",Long Cheng
Massively parallel reasoning under the well-founded semantics using X10,6,2014 IEEE 26th International Conference on Tools with Artificial Intelligence,IEEE,Unknown,2014,"Ilias Tachmazidis, Long Cheng, Spyros Kotoulas, Grigoris Antoniou, Tomas E Ward",Long Cheng
Measuring Similarity for Data-Aware Business Processes,5,Unknown,IEEE,IEEE Transactions on Automation Science and Engineering,2021,"Cong Liu, Qingtian Zeng, Long Cheng, Hua Duan, Jiujun Cheng",Long Cheng
Cluster-based flow control in hybrid software-defined wireless sensor networks,5,Unknown,Elsevier,Computer Networks,2021,"Qingzhi Liu, Long Cheng, Renan Alves, Tanir Ozcelebi, Fernando Kuipers, Guixian Xu, Johan Lukkien, Shanzhi Chen",Long Cheng
Rethinking Defeasible Reasoning: A Scalable Approach,5,Unknown,Cambridge University Press,Theory and Practice of Logic Programming,2020,"Michael J Maher, Ilias Tachmazidis, Grigoris Antoniou, Stephen Wade, Long Cheng",Long Cheng
Load-balancing distributed outer joins through operator decomposition,5,Unknown,Elsevier,Journal of Parallel and Distributed Computing,2019,"Long Cheng, Spyros Kotoulas, Qingzhi Liu, Ying Wang",Long Cheng
Cluflow: Cluster-based flow management in software-defined wireless sensor networks,4,2019 IEEE Wireless Communications and Networking Conference (WCNC),IEEE,Unknown,2019,"Qingzhi Liu, Tanir Ozcelebi, Long Cheng, Fernando Kuipers, Johan Lukkien",Long Cheng
High throughput indexing for large-scale semantic web data,4,Unknown,Unknown,Unknown,2015,"Long Cheng, Spyros Kotoulas, Tomas E Ward, Georgios Theodoropoulos",Long Cheng
Scalable RDF data compression using X10,4,Unknown,Unknown,arXiv preprint arXiv:1403.2404,2014,"Long Cheng, Avinash Malik, Spyros Kotoulas, Tomas E Ward, Georgios Theodoropoulos",Long Cheng
Runtime characterisation of triple stores: An initial investigation,4,IET Irish Signals and Systems Conference (ISSC 2012),IET,Unknown,2012,"Long Cheng, Spyros Kotoulas, Tomas Ward, Lorgios Theodoropoulos",Long Cheng
Network-Aware Locality Scheduling for Distributed Data Operators in Data Centers,3,Unknown,IEEE Computer Society,IEEE Transactions on Parallel and Distributed Systems,2021,"Long Cheng, Ying Wang, Qingzhi Liu, Dick Epema, Cheng Liu, Ying Mao, John Murphy",Long Cheng
Minimizing network traffic for distributed joins using lightweight locality-aware scheduling,3,European Conference on Parallel Processing,"Springer, Cham",Unknown,2018,"Long Cheng, John Murphy, Qingzhi Liu, Chunliang Hao, Georgios Theodoropoulos",Long Cheng
Runtime characterization of triple stores,3,2012 IEEE 15th International Conference on Computational Science and Engineering,IEEE,Unknown,2012,"Long Cheng, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",Long Cheng
A QoS-QoR aware CNN accelerator design approach,2,Unknown,IEEE,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2018,"Ying Wang, Huawei Li, Long Cheng, Xiaowei Li",Long Cheng
A two-tier index architecture for fast processing large RDF data over distributed memory,2,Unknown,Unknown,Unknown,2014,"Long Cheng, Spyros Kotoulas, Tomas E Ward, Georgios Theodoropoulos",Long Cheng
A Fully Parallel Framework for Analyzing RDF Data,2,International Semantic Web Conference,Unknown,Unknown,2014,"Long Cheng, Spyros Kotoulas, Tomas E Ward, Georgios Theodoropoulos",Long Cheng
SwiftS: a dependency-aware and resource efficient scheduling for high throughput in clouds,1,IEEE INFOCOM 2021-IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),IEEE,Unknown,2021,"Jinwei Liu, Long Cheng",Long Cheng
MPC-CSAS: Multi-Party Computation for Real-Time Privacy-Preserving Speed Advisory Systems,1,Unknown,IEEE,IEEE Transactions on Intelligent Transportation Systems,2021,"Mingming Liu, Long Cheng, Yingqi Gu, Ying Wang, Qingzhi Liu, Noel O'Connor",Long Cheng
Differentiate Quality of Experience Scheduling for Deep Learning Applications with Docker Containers in the Cloud,1,Unknown,Unknown,arXiv preprint arXiv:2010.12728,2020,"Ying Mao, Weifeng Yan, Yun Song, Yue Zeng, Ming Chen, Long Cheng, Qingzhi Liu",Long Cheng
Learning Process Models in IoT Edge,1,Proceedings of the 2019 IEEE World Congress on Services,Unknown,Unknown,2019,"Long Cheng, Cong Liu, Qingzhi Liu, Yucong Duan, John Murphy",Long Cheng
Investigating distributed approaches to efficiently extract textual evidences for biomedical ontologies,1,2014 IEEE International Conference on Bioinformatics and Bioengineering,IEEE,Unknown,2014,"Long Cheng, Yue Ma",Long Cheng
Cost-aware job scheduling for cloud instances using deep reinforcement learning,Unknown,Unknown,Springer US,Cluster Computing,2021,"Qingzhi Liu, Tiancong Xia, Long Cheng, Merijn Van Eijk, Tanir Ozcelebi, Ying Mao",Long Cheng
