,Title,Citation,Conference,Publisher,Journal,Date,Authors
961,TRECVID 2020: Video to Text Description,Unknown,Unknown,Unknown,Unknown,2021,"George Awad, Asad Butt, Yvette Graham"
962,Proceedings of the Third Workshop on Multilingual Surface Realisation,Unknown,Proceedings of the Third Workshop on Multilingual Surface Realisation,Unknown,Unknown,2020,"Anja Belz, Bernd Bohnet, Thiago Castro Ferreira, Yvette Graham, Simon Mille, Leo Wanner"
963,Proceedings of the 13th International Conference on Natural Language Generation,Unknown,Proceedings of the 13th International Conference on Natural Language Generation,Unknown,Unknown,2020,"Brian Davis, Yvette Graham, John Kelleher, Yaji Sripada"
964,Proceedings of the 2nd Workshop on Multilingual Surface Realisation (MSR 2020),Unknown,Unknown,Unknown,Unknown,2020,"Anya Belz, Simon Mille, Leo Wanner, Bernd Bohnet, Yvette Graham"
965,Proceedings of the Fifth Conference on Machine Translation,Unknown,Proceedings of the Fifth Conference on Machine Translation,Unknown,Unknown,2020,"Loïc Barrault, Ondřej Bojar, Fethi Bougares, Rajen Chatterjee, Marta R Costa-jussà, Christian Federmann, Mark Fishel, Alexander Fraser, Yvette Graham, Paco Guzman, Barry Haddow, Matthias Huck, Antonio Jimeno Yepes, Philipp Koehn, André FT Martins, Makoto Morishita, Christof Monz, Masaaki Nagata, Toshiaki Nakazawa, Matteo Negri"
966,Contrasting Human Opinion of Non-factoid Question Answering with Automatic Evaluation,Unknown,Unknown,Unknown,Unknown,2020,"Tianbo Ji, Yvette Graham, Gareth JF Jones"
967,Proceedings of the 2nd Workshop on Multilingual Surface Realisation (MSR 2019),Unknown,Proceedings of the 2nd Workshop on Multilingual Surface Realisation (MSR 2019),Unknown,Unknown,2019,"Simon Mille, Anja Belz, Bernd Bohnet, Yvette Graham, Leo Wanner"
968,"Proceedings of the Fourth Conference on Machine Translation (Volume 2: Shared Task Papers, Day 1)",Unknown,"Proceedings of the Fourth Conference on Machine Translation (Volume 2: Shared Task Papers, Day 1)",Unknown,Unknown,2019,"Ondřej Bojar, Rajen Chatterjee, Christian Federmann, Mark Fishel, Yvette Graham, Barry Haddow, Matthias Huck, Antonio Jimeno Yepes, Philipp Koehn, André FT Martins, Christof Monz, Matteo Negri, Aurelie Neveol, Mariana Neves, Matt Post, Marco Turchi, Karin Verspoor"
969,Exploring the Impact of Training Data Bias on Automatic Generation of Video Captions,Unknown,International Conference on Multimedia Modeling,"Springer, Cham",Unknown,2019,"Alan F Smeaton, Yvette Graham, Kevin McGuinness, Noel E O’Connor, Seán Quinn, Eric Arazo Sanchez"
970,TREC video retrieval evaluation TRECVID 2018,Unknown,Unknown,National Institute of Standards and Technology (NIST),"2018 TREC Video Retrieval Evaluation, TRECVID 2018, 2018 TREC Video Retrieval Evaluation, TRECVID 2018, 13 November 2018 through 15 November 2018",2018,"George Awad, Ian Soboroff, Asad Butt, K Curtis, Angela Ellis, D Dimmick, J Fiscus, A Godil, Andrew Delgado, Alan Smeaton, Y Graham, W Kraaij, G Quénot, J Magalhaes, D Semedo, S Blasi, Stephanie Strassel, Y Lee, D Joy"
971,Proceedings of the Second Conference on Machine Translation,Unknown,Proceedings of the Second Conference on Machine Translation,Unknown,Unknown,2017,"Ondřej Bojar, Christian Buck, Rajen Chatterjee, Christian Federmann, Yvette Graham, Barry Haddow, Matthias Huck, Antonio Jimeno Yepes, Philipp Koehn, Julia Kreutzer"
972,English-French and English-Greek bilingual dictionaries for the Environment and Labour Legislation domains,Unknown,Unknown,Unknown,Unknown,2014,"Yvette Graham, Gregor Thurmair, Antonio Toral, Vera Aleksic"
973,Bilingual Dictionary Extraction Tools,Unknown,Unknown,Unknown,Unknown,2014,"Yvette Graham, Gregor Thurmair, Antonio Toral, Vera Aleksic"
974,TRECVID 2020: Video to Text Description,Unknown,Unknown,Unknown,Unknown,Unknown,"Asad Anwar Butt, George Awad, Yvette Graham"
975,Is all that Glitters in MT Quality Estimation really Gold Standard?,Unknown,Unknown,Unknown,Unknown,Unknown,"Yvette Graham, Timothy Baldwin, Meghan Dowling, Maria Eskevich, Teresa Lynn, Lamia Tounsi"
976,Measuring Performance in Machine Translation Quality Estimation,Unknown,Unknown,Unknown,Unknown,Unknown,Yvette Graham
977,OpenMaTrEx: a free/open-source marker-driven example-based machine translation system,Unknown,Unknown,Unknown,Unknown,Unknown,"Steve Armstrong, Yvette Graham, Nano Gough, Declan Groves, Yanjun Ma, Nicolas Stroppa, John Tinsley, Andy Way, Bart Mellebeek, Sergio Penkale"
978,Exploring the Parameter Space in Statistical Machine Translation via F-structure Transfer,Unknown,Unknown,Unknown,Unknown,Unknown,"Yvette Graham, Josef van Genabith"
979,LifeLogging: personal big data. Foundations and Trends® in Information Retrieval,427,Unknown,Unknown,Foundations and Trends® in Information Retrieval,2014,"Cathal Gurrin, Alan F Smeaton, Aiden R Doherty"
980,Touch screens for the older user,169,Unknown,"InTech: Rijeka, Croatia",Assistive technologies,2012,"Niamh Caprani, Noel E O’Connor, Cathal Gurrin"
981,Passively recognising human activities through lifelogging,158,Unknown,Pergamon,Computers in Human Behavior,2011,"Aiden R Doherty, Niamh Caprani, Ciarán Ó Conaire, Vaiva Kalnikaite, Cathal Gurrin, Alan F Smeaton, Noel E O’Connor"
982,Topic-dependent sentiment analysis of financial blogs,144,Unknown,Unknown,Unknown,2009,"Neil O'Hare, Michael Davy, Adam Bermingham, Paul Ferguson, Páraic Sheridan, Cathal Gurrin, Alan F Smeaton"
983,Constructing a SenseCam visual diary as a media process,126,Unknown,Springer-Verlag,Multimedia Systems,2008,"Hyowon Lee, Alan F Smeaton, Noel E O’connor, Gareth Jones, Michael Blighe, Daragh Byrne, Aiden Doherty, Cathal Gurrin"
984,Experiences of aiding autobiographical memory using the SenseCam,117,Unknown,Taylor & Francis Group,Unknown,2012,"Aiden R Doherty, Katalin Pauly-Takacs, Niamh Caprani, Cathal Gurrin, Chris JA Moulin, Noel E O'Connor, Alan F Smeaton"
985,Analysis of papers from twenty-five years of sigir conferences: what have we been doing for the last quarter of a century?,99,Unknown,ACM,ACM SIGIR Forum,2002,"Alan F Smeaton, Gary Keogh, Cathal Gurrin, Kieran McDonald, Tom Sødring"
986,Overview of the NTCIR-14 lifelog-3 task,98,Proceedings of the 14th NTCIR conference,NII,Unknown,2019,"Cathal Gurrin, Hideo Joho, Frank Hopfgartner, Liting Zhou, V-T Ninh, T-K Le, Rami Albatal, D-T Dang-Nguyen, Graham Healy"
987,Children’s everyday exposure to food marketing: an objective analysis using wearable cameras,78,Unknown,BioMed Central,International Journal of Behavioral Nutrition and Physical Activity,2017,"Louise N Signal, James Stanley, M Smith, MB Barr, Tim J Chambers, Jiang Zhou, Aaron Duane, Cathal Gurrin, Alan F Smeaton, Christina McKerchar, Amber L Pearson, Janet Hoek, GLS Jenkin, C Ni Mhurchu"
988,"ImageCLEF 2019: Multimedia retrieval in medicine, lifelogging, security and nature",77,International Conference of the Cross-Language Evaluation Forum for European Languages,"Springer, Cham",Unknown,2019,"Bogdan Ionescu, Henning Müller, Renaud Péteri, Yashin Dicente Cid, Vitali Liauchuk, Vassili Kovalev, Dzmitri Klimuk, Aleh Tarasau, Asma Ben Abacha, Sadid A Hasan, Vivek Datla, Joey Liu, Dina Demner-Fushman, Duc-Tien Dang-Nguyen, Luca Piras, Michael Riegler, Minh-Triet Tran, Mathias Lux, Cathal Gurrin, Obioma Pelka, Christoph M Friedrich, Alba García Seco de Herrera, Narciso Garcia, Ergina Kavallieratou, Carlos Roberto del Blanco, Carlos Cuevas, Nikos Vasillopoulos, Konstantinos Karampidis, Jon Chamberlain, Adrian Clark, Antonio Campello"
989,The smartphone as a platform for wearable cameras in health research,71,Unknown,Elsevier,American journal of preventive medicine,2013,"Cathal Gurrin, Zhengwei Qiu, Mark Hughes, Niamh Caprani, Aiden R Doherty, Steve E Hodges, Alan F Smeaton"
990,Overview of ImageCLEF 2017: Information extraction from images,66,International Conference of the Cross-Language Evaluation Forum for European Languages,"Springer, Cham",Unknown,2017,"Bogdan Ionescu, Henning Müller, Mauricio Villegas, Helbert Arenas, Giulia Boato, Duc-Tien Dang-Nguyen, Yashin Dicente Cid, Carsten Eickhoff, Alba G Seco de Herrera, Cathal Gurrin, Bayzidul Islam, Vassili Kovalev, Vitali Liauchuk, Josiane Mothe, Luca Piras, Michael Riegler, Immanuel Schwall"
991,"Overview of ImageCLEF 2018: Challenges, datasets and evaluation",65,International Conference of the Cross-Language Evaluation Forum for European Languages,"Springer, Cham",Unknown,2018,"Bogdan Ionescu, Henning Müller, Mauricio Villegas, Alba García Seco de Herrera, Carsten Eickhoff, Vincent Andrearczyk, Yashin Dicente Cid, Vitali Liauchuk, Vassili Kovalev, Sadid A Hasan, Yuan Ling, Oladimeji Farri, Joey Liu, Matthew Lungren, Duc-Tien Dang-Nguyen, Luca Piras, Michael Riegler, Liting Zhou, Mathias Lux, Cathal Gurrin"
992,Method of recommending broadcasting contents and recommending apparatus therefor,65,Unknown,Unknown,Unknown,2016,Unknown
993,A comprehensive study of bluetooth fingerprinting-based algorithms for localization,64,2013 27th International Conference on Advanced Information Networking and Applications Workshops,IEEE,Unknown,2013,"Li Zhang, Xiao Liu, Jie Song, Cathal Gurrin, Zhiliang Zhu"
994,Combination of content analysis and context features for digital photograph retrieval,63,Unknown,IET Digital Library,Unknown,2005,"Neil O'Hare, Cathal Gurrin, Gareth JF Jones, Alan F Smeaton"
995,MediAssist: Using content-based analysis and context to manage personal photo collections,61,International Conference on Image and Video Retrieval,"Springer, Berlin, Heidelberg",Unknown,2006,"Neil O’Hare, Hyowon Lee, Saman Cooray, Cathal Gurrin, Gareth JF Jones, Jovanka Malobabic, Noel E O’Connor, Alan F Smeaton, Bartlomiej Uscilowski"
996,DAVVI: A prototype for the next generation multimedia entertainment platform,59,Unknown,Unknown,Unknown,2009,"Dag Johansen, Håvard Johansen, Tjalve Aarflot, Joseph Hurley, Åge Kvalnes, Cathal Gurrin, Sorin Zav, Bjørn Olstad, Erik Aaberg, Tore Endestad, Haakon Riiser, Carsten Griwidz, Pål Halvorsen"
997,Comparing Approaches to Interactive Lifelog Search at the Lifelog Search Challenge (LSC2018),57,Unknown,The Institute of Image Information and Television Engineers,ITE Transactions on Media Technology and Applications,2019,"Cathal Gurrin, Klaus Schoeffmann, Hideo Joho, Andreas Leibetseder, Liting Zhou, Aaron Duane, Duc-Tien Dang-Nguyen, Michael Riegler, Luca Piras, Minh-Triet Tran, Jakub Lokoč, Wolfgang Hürst"
998,Beyond quantified self: Data for wellbeing,56,Unknown,Unknown,Unknown,2014,"Jochen Meyer, Steven Simske, Katie A Siek, Cathal G Gurrin, Hermie Hermens"
999,TRECVid 2005 experiments at dublin city university,54,Unknown,NIST,Unknown,2005,"Colum Foley, Cathal Gurrin, Gareth JF Jones, Hyowon Lee, Sinéad McGivney, Noel E O'Connor, Sorin Vasile Sav, Alan F Smeaton, Peter Wilkins"
1000,Kids’ Cam: an objective methodology to study the world in which children live,53,Unknown,Elsevier,American Journal of Preventive Medicine,2017,"Louise N Signal, Moira B Smith, Michelle Barr, James Stanley, Tim J Chambers, Jiang Zhou, Aaron Duane, Gabrielle LS Jenkin, Amber L Pearson, Cathal Gurrin, Alan F Smeaton, Janet Hoek, Cliona Ni Mhurchu"
1001,Method and apparatus to provide broadcasting program information on screen of broadcast receiver,50,Unknown,Unknown,Unknown,2016,Unknown
1002,Trecvid 2004 experiments in dublin city university,50,Unknown,NIST,Unknown,2004,"Eddie Cooke, Paul Ferguson, Georgina Gaughan, Cathal Gurrin, Gareth JF Jones, Hervé Le Borgne, Hyowon Lee, Seán Marlow, Kieran McDonald, Mike McHugh, Noel Murphy, Noel E O'Connor, Neil O'Hare, Sandra Rothwell, Alan F Smeaton, Peter Wilkins"
1003,The video browser showdown: a live evaluation of interactive video search tools,48,Unknown,Springer London,International Journal of Multimedia Information Retrieval,2014,"Klaus Schoeffmann, David Ahlström, Werner Bailer, Claudiu Cobârzan, Frank Hopfgartner, Kevin McGuinness, Cathal Gurrin, Christian Frisson, Duy-Dinh Le, Manfred Del Fabro, Hongliang Bai, Wolfgang Weiss"
1004,Overview of ImageCLEFlifelog 2018: daily living understanding and lifelog moment retrieval,47,Unknown,CEUR-WS,Unknown,2018,"Duc-Tien Dang-Nguyen, Luca Piras, Michael Riegler, Liting Zhou, Mathias Lux, Cathal Gurrin"
1005,Ntcir lifelog: The first test collection for lifelog research,47,Unknown,Unknown,Unknown,2016,"Cathal Gurrin, Hideo Joho, Frank Hopfgartner, Liting Zhou, Rami Albatal"
1006,Multimedia and medicine: Teammates for better disease detection and survival,44,Unknown,Unknown,Unknown,2016,"Michael Riegler, Mathias Lux, Carsten Griwodz, Concetto Spampinato, Thomas de Lange, Sigrun L Eskeland, Konstantin Pogorelov, Wallapak Tavanapong, Peter T Schmidt, Cathal Gurrin, Dag Johansen, Håvard Johansen, Pål Halvorsen"
1007,"Design, implementation and testing of an interactive video retrieval system",42,Unknown,Unknown,Unknown,2003,"Georgina Gaughan, Alan F Smeaton, Cathal Gurrin, Hyowon Lee, Kieran McDonald"
1008,Overview of imageclef lifelog 2017: lifelog retrieval and summarization,41,Unknown,CEUR-WS,Unknown,2017,"Duc-Tien Dang-Nguyen, Luca Piras, Michael Riegler, Giulia Boato, Liting Zhou, Cathal Gurrin"
1009,Method of recommending broadcasting contents and recommending apparatus therefor in multimedia contents reproducing device,41,Unknown,Unknown,Unknown,2015,Unknown
1010,A privacy by design approach to lifelogging,41,Unknown,IOS Press,Unknown,2014,"Cathal Gurrin, Rami Albatal, Hideo Joho, Kaori Ishii"
1011,Exploring the use of paragraph-level annotations for sentiment analysis of financial blogs,39,Unknown,Unknown,Unknown,2009,"Paul Ferguson, Neil O'Hare, Michael Davy, Adam Bermingham, Paraic Sheridan, Cathal Gurrin, Alan F Smeaton"
1012,An examination of a large visual lifelog,39,Asia Information Retrieval Symposium,"Springer, Berlin, Heidelberg",Unknown,2008,"Cathal Gurrin, Alan F Smeaton, Daragh Byrne, Neil O’Hare, Gareth JF Jones, Noel O’Connor"
1013,Replicating web structure in small-scale test collections,39,Unknown,Kluwer Academic Publishers,Information retrieval,2004,"Cathal Gurrin, Alan F Smeaton"
1014,Físchlár-DiamondTouch: Collaborative video searching on a table,38,"Multimedia Content Analysis, Management, and Retrieval 2006",International Society for Optics and Photonics,Unknown,2006,"Alan F Smeaton, Hyowon Lee, Colum Foley, Sinéad McGivney, Cathal Gurrin"
1015,Designing a touch-screen SenseCam browser to support an aging population,37,Unknown,Unknown,Unknown,2010,"Niamh Caprani, Aiden R Doherty, Hyowon Lee, Alan F Smeaton, Noel E O'Connor, Cathal Gurrin"
1016,Introduction to the Third Annual Lifelog Search Challenge (LSC'20),36,Unknown,Unknown,Unknown,2020,"Cathal Gurrin, Tu-Khiem Le, Van-Tu Ninh, Duc-Tien Dang-Nguyen, Björn Þór Jónsson, Jakub Lokoč, Wolfgang Hürst, Minh-Triet Tran, Klaus Schoeffmann"
1017,Balancing the power of multimedia information retrieval and usability in designing interactive TV,36,Unknown,Unknown,Unknown,2008,"Hyowon Lee, Paul Ferguson, Cathal Gurrin, Alan F Smeaton, Noel E O'Connor, Heeseon Park"
1018,Collaborative searching for video using the fischlar system and a diamondtouch table,36,First IEEE International Workshop on Horizontal Interactive Human-Computer Systems (TABLETOP'06),IEEE,Unknown,2006,"Alan F Smeaton, Colum Foley, Cathal Gurrin, Hyowon Lee, Sinéad McGivney"
1019,The Físchlár-news-stories system: personalised access to an archive of TV news,36,Unknown,CID Paris,Unknown,2004,"Alan F Smeaton, Cathal Gurrin, Hyowon Lee, Kieran McDonald, Noel Murphy, Noel E O'Connor, Derry O'Sullivan, Barry Smyth, David C Wilson"
1020,Overview of ImageCLEFlifelog 2019: solve my life puzzle and lifelog moment retrieval,34,Unknown,CEUR-WS,Unknown,2019,"Duc Tien Dang Nguyen, Luca Piras, Michael Riegler, Liting Zhou, Mathias Lux, Minh-Triet Tran, Tu-Khiem Le, Van-Tu Ninh, Cathal Gurrin"
1021,A test collection for interactive lifelog retrieval,34,International Conference on Multimedia Modeling,"Springer, Cham",Unknown,2019,"Cathal Gurrin, Klaus Schoeffmann, Hideo Joho, Bernd Munzer, Rami Albatal, Frank Hopfgartner, Liting Zhou, Duc-Tien Dang-Nguyen"
1022,My digital photos: where and when?,33,Unknown,Unknown,Unknown,2005,"Neil O'Hare, Cathal Gurrin, Hyowon Lee, Noel Murphy, Alan F Smeaton, Gareth JF Jones"
1023,Mobile access to personal digital photograph archives,32,Unknown,Unknown,Unknown,2005,"Cathal Gurrin, Gareth JF Jones, Hyowon Lee, Neil O'Hare, Alan F Smeaton, Noel Murphy"
1024,Virtual reality lifelog explorer: lifelog search challenge at ACM ICMR 2018,31,Unknown,Unknown,Unknown,2018,"Aaron Duane, Cathal Gurrin, Wolfgang Huerst"
1025,"Search-based composition, streaming and playback of video archive content",28,Unknown,Springer US,Multimedia Tools and Applications,2012,"Dag Johansen, Pål Halvorsen, Håvard Johansen, Håkon Riiser, Cathal Gurrin, Bjørn Olstad, Carsten Griwodz, Åge Kvalnes, Joseph Hurley, Tomas Kupka"
1026,A survey on life logging data capturing,28,Unknown,Unknown,SenseCam 2012,2012,"Lijuan Marissa Zhou, Cathal Gurrin"
1027,"Architecture and challenges of maintaining a large-scale, context-aware human digital memory",26,2008 5th International Conference on Visual Information Engineering (VIE 2008),IET,Unknown,2008,"Cathal Gurrin, Daragh Byrne, Noel O'Connor, Gareth JF Jones, Alan F Smeaton"
1028,Dublin City University video track experiments for TREC 2003,26,Unknown,NIST,Unknown,2003,"Paul Browne, Csaba Czirjek, Georgina Gaughan, Cathal Gurrin, Gareth JF Jones, Hyowon Lee, Seán Marlow, Kieran McDonald, Noel Murphy, Noel E O'Connor, Neil O'Hare, Alan F Smeaton, Jiamin Ye"
1029,"Experiments in terabyte searching, genomic retrieval and novelty detection for TREC 2004",25,Unknown,NIST,Unknown,2004,"Stephen Blott, Oisin Boydell, Fabrice Camous, Paul Ferguson, Georgina Gaughan, Cathal Gurrin, Gareth JF Jones, Noel Murphy, Noel E O'Connor, Alan F Smeaton, Barry Smyth, Peter Wilkins"
1030,Using text search for personal photo collections with the MediAssist system,24,Unknown,Unknown,Unknown,2007,"Neil O'Hare, Cathal Gurrin, Gareth JF Jones, Hyowon Lee, Noel E O'Connor, Alan F Smeaton"
1031,"Bluetooth familiarity: Methods of calculation, applications and limitations",23,Unknown,Unknown,Unknown,2007,"Barry Lavelle, Daragh Byrne, Cathal Gurrin, Alan F Smeaton, Gareth JF Jones"
1032,Characterizing everyday activities from visual lifelogs based on enhancing concept representation,22,Unknown,Academic Press,Computer Vision and Image Understanding,2016,"Peng Wang, Lifeng Sun, Shiqiang Yang, Alan F Smeaton, Cathal Gurrin"
1033,Dynamic user authentication based on mouse movements curves,22,International Conference on Multimedia Modeling,"Springer, Cham",Unknown,2015,"Zaher Hinbarji, Rami Albatal, Cathal Gurrin"
1034,Detecting complex events in user-generated video using concept classifiers,22,2012 10th International Workshop on Content-Based Multimedia Indexing (CBMI),IEEE,Unknown,2012,"Jinlin Guo, David Scott, Frank Hopfgartner, Cathal Gurrin"
1035,Identifying person re-occurrences for personal photo management applications,22,Unknown,IET Digital Library,Unknown,2006,"Saman Cooray, Noel E O'Connor, Cathal Gurrin, Gareth JF Jones, Neil O'Hare, Alan F Smeaton"
1036,Negative faceblurring: A privacy-by-design approach to visual lifelogging with google glass,20,Unknown,Unknown,Unknown,2014,"Tengqi Ye, Brian Moynagh, Rami Albatal, Cathal Gurrin"
1037,Visualizing lifelog data for different interaction platforms,20,Unknown,Unknown,Unknown,2013,"Yang Yang, Hyowon Lee, Cathal Gurrin"
1038,Dublin City University Experiments in Connectivity Analysis for TREC-9.,20,TREC,Unknown,Unknown,2000,"Cathal Gurrin, Alan F Smeaton"
1039,Experiencing SenseCam: a case study interview exploring seven years living with a wearable camera,19,Unknown,Unknown,Unknown,2013,"Niamh Caprani, Noel E O'Connor, Cathal Gurrin"
1040,A real-time life experience logging tool,19,International Conference on Multimedia Modeling,"Springer, Berlin, Heidelberg",Unknown,2012,"Zhengwei Qiu, Cathal Gurrin, Aiden R Doherty, Alan F Smeaton"
1041,Myscéal: an experimental interactive lifelog retrieval system for LSC'20,18,Unknown,Unknown,Unknown,2020,"Ly-Duyen Tran, Manh-Duy Nguyen, Nguyen Thanh Binh, Hyowon Lee, Cathal Gurrin"
1042,Remote real-time monitoring of subsurface landfill gas migration,18,Unknown,Molecular Diversity Preservation International,Sensors,2011,"Cormac Fay, Aiden R Doherty, Stephen Beirne, Fiachra Collins, Colum Foley, John Healy, Breda M Kiernan, Hyowon Lee, Damien Maher, Dylan Orpen, Thomas Phelan, Zhengwei Qiu, Kirk Zhang, Cathal Gurrin, Brian Corcoran, Noel E O’Connor, Alan F Smeaton, Dermot Diamond"
1043,A baseline search engine for personal life archives,17,Unknown,Unknown,Unknown,2017,"Liting Zhou, Duc-Tien Dang-Nguyen, Cathal Gurrin"
1044,"Building a disclosed lifelog dataset: challenges, principles and processes",17,Unknown,Unknown,Unknown,2017,"Duc-Tien Dang-Nguyen, Liting Zhou, Rashmi Gupta, Michael Riegler, Cathal Gurrin"
1045,Applying visual user interest profiles for recommendation and personalisation,17,International Conference on Multimedia Modeling,"Springer, Cham",Unknown,2016,"Jiang Zhou, Rami Albatal, Cathal Gurrin"
1046,Senseseer mobile-cloud-based Lifelogging framework,17,2013 IEEE International Symposium on Technology and Society (ISTAS): Social Implications of Wearable Computing and Augmediated Reality in Everyday Life,IEEE,Unknown,2013,"Rami Albatal, Cathal Gurrin, Jiang Zhou, Yang Yang, Denise Carthy, Na Li"
1047,iForgot: A model of forgetting in robotic memories,17,2010 5th ACM/IEEE International Conference on Human-Robot Interaction (HRI),IEEE,Unknown,2010,"Cathal Gurrin, Hyowon Lee, Jer Hayes"
1048,Dublin City University video track experiments for TREC 2002,17,Unknown,NIST,Unknown,2002,"Paul Browne, Csaba Czirjek, Cathal Gurrin, Roman Jarina, Hyowon Lee, Seán Marlow, Kieran McDonald, Noel Murphy, Noel E O'Connor, Alan F Smeaton, Jiamin Ye"
1049,A Connectivity Analysis Approach to Increasing Precision in Retrieval From Hyperlinked Documents.,17,TREC,Unknown,Unknown,1999,"Cathal Gurrin, Alan F Smeaton"
1050,"Overview of the ImageCLEF 2020: Multimedia retrieval in medical, lifelogging, nature, and internet applications",16,International Conference of the Cross-Language Evaluation Forum for European Languages,"Springer, Cham",Unknown,2020,"Bogdan Ionescu, Henning Müller, Renaud Péteri, Asma Ben Abacha, Vivek Datla, Sadid A Hasan, Dina Demner-Fushman, Serge Kozlovski, Vitali Liauchuk, Yashin Dicente Cid, Vassili Kovalev, Obioma Pelka, Christoph M Friedrich, Alba García Seco de Herrera, Van-Tu Ninh, Tu-Khiem Le, Liting Zhou, Luca Piras, Michael Riegler, Pål Halvorsen, Minh-Triet Tran, Mathias Lux, Cathal Gurrin, Duc-Tien Dang-Nguyen, Jon Chamberlain, Adrian Clark, Antonio Campello, Dimitri Fichou, Raul Berari, Paul Brie, Mihai Dogariu, Liviu Daniel Ştefan, Mihai Gabriel Constantin"
1051,Lifeseeker: Interactive lifelog search engine at lsc 2019,16,Unknown,Unknown,Unknown,2019,"Tu-Khiem Le, Van-Tu Ninh, Duc-Tien Dang-Nguyen, Minh-Triet Tran, Liting Zhou, Pablo Redondo, Sinead Smyth, Cathal Gurrin"
1052,Lifer: An interactive lifelog retrieval system,16,Unknown,Unknown,Unknown,2018,"Liting Zhou, Zaher Hinbarji, Duc-Tien Dang-Nguyen, Cathal Gurrin"
1053,Mining user activity as a context source for search and retrieval,16,2011 International Conference on Semantic Technology and Information Retrieval,IEEE,Unknown,2011,"Zhengwei Qiu, Aiden R Doherty, Cathal Gurrin, Alan F Smeaton"
1054,Text based approaches for content-based image retrieval on large image collections,16,Unknown,IET Digital Library,Unknown,2005,"Peter Wilkins, Paul Ferguson, Alan F Smeaton, Cathal Gurrin"
1055,Improving the evaluation of Web search systems,16,European Conference on Information Retrieval,"Springer, Berlin, Heidelberg",Unknown,2003,"Cathal Gurrin, Alan F Smeaton"
1056,"Introduction to the Fourth Annual Lifelog Search Challenge, LSC'21",15,Unknown,Unknown,Unknown,2021,"Cathal Gurrin, Björn Þór Jónsson, Klaus Schöffmann, Duc-Tien Dang-Nguyen, Jakub Lokoč, Minh-Triet Tran, Wolfgang Hürst, Luca Rossetto, Graham Healy"
1057,Organizer team at ImageCLEFlifelog 2017: baseline approaches for lifelog retrieval and summarization,15,Unknown,CEUR-WS,Unknown,2017,"Liting Zhou, Luca Piras, Michael Riegler, Giulia Boato, Duc Tien Dang Nguyen, Cathal Gurrin"
1058,"Loggerman, a comprehensive logging and visualization tool to capture computer usage",15,International Conference on Multimedia Modeling,"Springer, Cham",Unknown,2016,"Zaher Hinbarji, Rami Albatal, Noel O’Connor, Cathal Gurrin"
1059,Learning multiple views with orthogonal denoising autoencoders,15,International Conference on Multimedia Modeling,"Springer, Cham",Unknown,2016,"TengQi Ye, Tianchun Wang, Kevin McGuinness, Yu Guo, Cathal Gurrin"
1060,Expert driven semi-supervised elucidation tool for medical endoscopic videos,15,Unknown,Unknown,Unknown,2015,"Zeno Albisser, Michael Riegler, Pål Halvorsen, Jiang Zhou, Carsten Griwodz, Ilangko Balasingham, Cathal Gurrin"
1061,Automatically recommending multimedia content for use in group reminiscence therap,15,Unknown,Unknown,Unknown,2013,"Adam Bermingham, Julia O'Rourke, Cathal Gurrin, Ronan Collins, Kate Irving, Alan F Smeaton"
1062,"Who produced this video, amateur or professional?",15,Unknown,Unknown,Unknown,2013,"Jinlin Guo, Cathal Gurrin, Songyang Lao"
1063,Overview of ImageCLEF lifelog 2020: lifelog moment retrieval and sport performance lifelog,14,Unknown,Unknown,Unknown,2020,"Van-Tu Ninh, Tu-Khiem Le, Liting Zhou, Luca Piras, Michael Alexander Riegler, Pål Halvorsen, Mathias Lux, Minh-Triet Tran, Cathal Gurrin, Duc Tien Dang Nguyen"
1064,"Image and Video Retrieval: Third International Conference, CIVR 2004, Dublin, Ireland, July 21-23, 2004, Proceedings",14,Unknown,Springer,Unknown,2004,"Peter Enser, Yiannis Kompatsiaris, Noel E O'Connor, Alan Smeaton, Arnold WM Smeulders"
1065,"Físchlár-Nursing, using digital video libraries to teach nursing students",14,Unknown,Unknown,WBE 2004–IASTED International Conference on Web-Based Education,2004,"Cathal Gurrin, Padraig MacNeela, Alan F Smeaton, Hyowon Lee, Paul Browne, Kieran McDonald"
1066,Mobile Access to the Físchlár-News Archive,14,Unknown,Unknown,"Workshop on Mobile and Ubiquitous Information Access at Mobile HCI 2013, Udine, Italy",2003,"C Gurrin, A Smeaton, H Lee, K Mc Donald, N Murphy, N O'Connor, S Marlow"
1067,Computer vision for lifelogging: Characterizing everyday activities based on visual semantics,13,Unknown,Academic Press,Unknown,2018,"Peng Wang, Lifeng Sun, Alan F Smeaton, Cathal Gurrin, Shiqiang Yang"
1068,Detecting violent content in hollywood movies by mid-level audio representations,13,"Content-Based Multimedia Indexing (CBMI), 2013 11th International Workshop on",IEEE,Unknown,2013,"Esra Acar, Frank Hopfgartner, Sahin Albayrak"
1069,User interaction templates for the design of lifelogging systems,13,Unknown,"Springer, London",Unknown,2013,"Frank Hopfgartner, Yang Yang, Lijuan Marissa Zhou, Cathal Gurrin"
1070,Technology use in everyday life: implications for designing for older users,13,Unknown,Unknown,Unknown,2012,"Niamh Caprani, Julie Doyle, Michael O'Grady, Cathal Gurrin, Noel E O'Connor, Brian Caulfield, Gregory MP O'Hare"
