Name1,Name2,Total_Paper_Count,Total_Citations_Achieved
490,1064,2,1
185,490,1,0
490,1176,1,0
422,490,3,12
44,490,3,12
473,490,4,14
490,934,1,3
490,1023,1,10
490,801,1,10
490,566,1,10
76,490,1,10
359,1176,3,73
102,1176,3,73
554,1176,2,73
522,1176,2,73
18,1176,2,73
1166,1176,2,73
75,1176,2,73
494,1176,2,73
293,1176,2,73
118,1176,1,25
633,1176,2,73
488,1176,1,25
28,1176,3,73
352,1176,2,25
1134,1176,2,73
360,1176,2,73
82,1176,5,38
999,1176,1,0
287,1176,1,0
66,1176,1,0
623,1176,3,270
826,1176,5,336
333,1176,1,0
902,1176,2,0
699,1176,2,21
189,1176,5,270
687,1176,3,249
42,1176,1,0
835,1176,1,0
120,1176,7,308
717,1176,4,270
90,1176,2,0
867,1176,6,308
77,1176,2,0
657,1176,2,21
194,1176,4,270
708,1176,2,21
1088,1176,2,21
713,1176,2,0
185,1176,2,2
1075,1176,2,2
676,1176,1,0
650,1176,1,21
939,1176,1,21
306,1176,1,21
1081,1176,1,21
186,1176,1,21
810,1176,1,21
964,1176,2,270
711,1176,3,270
672,1176,2,270
92,1176,1,0
1005,1176,5,38
592,1176,5,38
132,1176,5,38
512,1176,1,0
1149,1176,1,0
1069,1176,2,8
106,1176,1,0
679,1176,1,0
671,1176,1,0
550,1176,1,0
891,1176,1,66
518,1176,1,66
698,1176,1,249
992,1176,1,249
710,1176,1,249
559,1176,1,0
818,1176,1,0
980,1176,1,0
305,1176,1,0
177,635,3,7
177,661,5,8
177,1067,1,0
177,376,11,114
138,177,7,1
177,798,1,0
177,1074,1,0
177,1142,1,0
177,753,5,6
177,276,23,257
177,589,17,112
177,1101,14,102
177,608,17,247
177,752,1,0
177,439,1,0
177,797,1,0
177,625,9,177
177,736,10,177
177,885,3,15
177,709,9,130
177,751,15,225
143,177,5,88
177,421,5,88
177,920,5,88
104,177,5,88
177,1119,5,88
177,958,5,88
177,267,5,88
177,984,3,15
177,1117,5,88
177,1156,5,88
177,1103,5,88
177,824,5,88
177,195,5,88
32,177,3,80
177,627,1,0
177,837,1,0
177,520,5,88
15,177,5,88
88,177,4,83
177,265,3,15
177,911,3,15
177,848,3,15
177,742,3,15
177,610,2,3
177,743,3,15
177,344,7,127
177,426,8,174
177,1179,1,4
177,1082,1,4
28,177,3,4
4,177,6,60
31,177,2,8
177,507,3,76
177,895,2,0
177,1071,1,1
177,491,1,1
177,686,1,1
177,442,1,1
177,270,1,0
177,1014,1,0
177,870,1,0
141,177,2,24
177,472,1,21
177,1140,2,68
177,567,4,96
177,909,4,6
177,1066,2,6
177,391,2,6
140,177,1,0
177,831,1,7
177,904,4,118
177,277,1,1
177,611,1,12
177,796,1,6
177,441,1,6
177,894,1,2
177,653,1,2
177,562,1,2
177,429,1,2
177,428,1,2
177,1089,1,2
177,1112,1,2
21,177,1,3
177,690,1,3
177,181,1,1
177,817,1,1
177,535,1,1
177,1017,1,1
177,784,2,73
177,304,2,73
173,177,2,73
172,177,2,73
177,811,2,73
177,571,2,73
22,177,2,6
177,691,2,6
177,950,2,6
177,456,1,0
130,177,1,0
177,1102,1,0
177,1131,1,0
177,1027,1,0
177,1090,1,6
133,177,1,27
177,832,1,1
177,858,1,6
177,1084,1,6
177,570,1,6
177,795,1,6
177,834,1,13
177,1009,2,21
177,471,2,48
177,1133,1,1
177,626,1,1
177,993,1,0
177,622,1,0
43,177,1,0
33,177,1,0
177,411,1,0
177,420,1,0
177,1015,1,2
177,261,1,2
177,1096,1,2
177,552,1,8
177,1098,1,85
177,1053,1,85
177,220,1,85
177,888,1,10
177,254,1,10
177,207,1,10
177,497,1,10
177,1168,1,10
177,392,1,10
177,498,1,0
177,997,1,0
177,526,1,0
177,281,1,68
36,177,1,68
177,813,1,0
177,1181,1,0
177,613,1,0
177,479,1,0
177,643,1,0
177,722,1,0
177,1076,1,0
177,466,1,0
177,192,1,0
57,177,1,0
177,486,1,0
177,350,1,0
165,177,1,0
177,953,1,0
177,642,1,0
177,1079,1,0
177,1097,1,0
177,219,1,0
164,177,1,0
177,541,1,0
177,896,1,0
72,177,1,47
61,356,4,7
376,635,2,1
376,661,2,1
376,1067,1,0
138,376,1,0
376,617,2,1
28,376,10,74
376,589,8,107
376,1101,7,103
376,751,4,12
376,1066,1,4
376,391,1,4
376,608,7,103
376,607,1,0
253,376,1,0
334,376,1,0
208,376,1,0
376,735,1,0
376,1068,1,0
376,752,1,0
376,439,1,0
376,797,1,0
376,625,1,0
376,736,1,0
376,885,1,0
376,709,1,0
276,376,5,98
376,931,1,1
376,430,2,1
376,1179,6,44
376,887,3,17
376,1082,6,44
376,426,4,95
344,376,4,95
376,904,3,91
277,376,1,1
376,871,2,29
101,376,1,0
237,376,1,0
376,1003,1,0
376,377,1,0
376,1063,1,0
109,376,1,0
376,818,1,0
376,552,1,0
376,1009,2,8
376,1015,1,2
261,376,1,2
376,1096,1,2
403,775,1,1
56,775,1,0
739,775,1,3
775,836,1,3
58,775,1,3
352,405,2,1
345,352,1,0
352,945,3,21
123,352,3,21
83,352,3,21
352,676,3,21
352,538,3,21
6,352,3,21
352,1020,3,21
352,1165,3,21
352,803,4,4
352,819,2,0
349,352,5,10
247,352,6,14
352,662,2,0
352,883,3,4
271,352,1,0
